no,movie,content,rate
14335112,트루스 오어 데어,영화계의 드루킹이 이미 접수한 평점입니다.,2
14335111,마녀,빠른액션 지루할 틈이 없어요~반전도 있고 재밌네요~,10
14335110,아일라,짱짱 많이보세요 ~~ㅎㅎㅎ,10
14335109,인크레더블 2,잭잭이 제일 기억에 남는다~ 최고의 수퍼히어로!,8
14335108,오션스8,그냥 가볍게보기좋은 영화,6
14335107,조작된 도시,솔직히 8점은 너무낮은듯  국내에서 이정도 몰입감있게 만드는감독이 있을까..,10
14335106,인크레더블 2,막내 잭잭이 최고에요 어벤저스급 영화 ㅋㅋㅋㅋ,10
14335105,마녀,초반지루하고..15세관람가는아닌듯~넘잔인..,5
14335104,원더 우먼,정말재밌었어요원더우먼이 싸우는 장면도 정말 멋있었고저는 영화보면서 이런생각을 했어요여자가 이렇게 싸움을 잘하는지....ㅋㅋ,10
14335103,인크레더블 2,어린이에게 최고의 영화입니다~!,10
14335102,"메밀꽃, 운수 좋은 날, 그리고 봄봄","메밀꽃: 배경만 예쁘다. 운수좋은 날: 인력거 소재는 좋은데, 시종일관 답답하다가 반전하나 없는 뻔한 결말. 봄봄: 판소리를 접목하고 싶으면 적당히 센스있게 좀 해라. 뭐이리 말이 많냐.",3
14335101,인크레더블 2,슈퍼히어로 엄마의 활약이야기와 슈퍼히어로였던 아빠의 슈퍼육아 이야기.,10
14335100,라따뚜이,넘잼나.. b급 구루메부터 미슐랭까지 미식과 먹방이 취미인데. 정말 배부르고 행복한 영화 ♡정말 좋다,10
14335098,마녀,생각없이 봤는데 이건 머 .. 오랜만에 100프로 몰입해서 본 영화,10
14335097,아수라,니들 잘못 걸렸어~ㅋㅋ 황정민 연기 진짜 똑같네요,10
14335096,스카이스크래퍼,스토리 개연성이 떨어지나 조조로 보면 그나마 볼 만한 영화,7
14335095,인크레더블 2,명작의 귀환.!!! 과거의 명성을 확인하기 충분하나 새롭지않다,8
14335094,인크레더블 2,아이와 재밌게 봤어요어른이봐도 재밌네요,8
14335093,스카이스크래퍼,너무뻔한스토리..보다가 잠들었네요,6
14335092,인크레더블 2,"애니매이션이지만 스펙타클하고,흥미진진해서 역시 디즈니! 믿고 봅니다~~^^",10
14335091,아수라,다시 봤는데 실화여서 놀랬다 재개봉 시급함,10
14335090,호텔 아르테미스,"올해 본 영화 중 최악 평점 왜이리 높은건지 이해안간다 소재는 신선했지만 도대체 영화가 하고싶은 말은 뭔지,,,나 뿐만아니라  관람객들 모두 ㅤㅇㅢㅇ? 하는 표정으로 영화관을 나왔다",3
14335089,마녀,역시 조민수씨는 연기파!,8
